clam 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
swan 0 1 1 0 1 1 0 0 1 1 0 0 2 1 0 1
frog 0 0 1 0 0 1 1 1 1 1 1 0 4 0 0 0
antelope 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
leopard 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
seal 1 0 0 1 0 1 1 1 1 1 0 1 0 0 0 1
slug 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
worm 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
stingray 0 0 1 0 0 1 1 1 1 0 1 1 0 1 0 1
deer 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
pitviper 0 0 1 0 0 0 1 1 1 1 1 0 0 1 0 0
wasp 1 0 1 0 1 0 0 0 0 1 1 0 6 0 0 0
platypus 1 0 1 1 0 1 1 0 1 1 0 0 4 1 0 1
giraffe 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
aardvark 1 0 0 1 0 0 1 1 1 1 0 0 4 0 0 1
mink 1 0 0 1 0 1 1 1 1 1 0 0 4 1 0 1
goat 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1
squirrel 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 0
mole 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 0
cavy 1 0 0 1 0 0 0 1 1 1 0 0 4 0 1 0
ostrich 0 1 1 0 0 0 0 0 1 1 0 0 2 1 0 1
elephant 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
vampire 1 0 0 1 1 0 0 1 1 1 0 0 2 1 0 0
crayfish 0 0 1 0 0 1 1 0 0 0 0 0 6 0 0 0
lobster 0 0 1 0 0 1 1 0 0 0 0 0 6 0 0 0
dolphin 0 0 0 1 0 1 1 1 1 1 0 1 0 1 0 1
mongoose 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
haddock 0 0 1 0 0 1 0 1 1 0 0 1 0 1 0 0
pony 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1
starfish 0 0 1 0 0 1 1 0 0 0 0 0 5 0 0 0
dove 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0
oryx 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 1
calf 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1
housefly 1 0 1 0 1 0 0 0 0 1 0 0 6 0 0 0
rhea 0 1 1 0 0 0 1 0 1 1 0 0 2 1 0 1
pike 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1
ladybird 0 0 1 0 1 0 1 0 0 1 0 0 6 0 0 0
seasnake 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0
puma 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
wallaby 1 0 0 1 0 0 0 1 1 1 0 0 2 1 0 1
cheetah 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
sealion 1 0 0 1 0 1 1 1 1 1 0 1 2 1 0 1
parakeet 0 1 1 0 1 0 0 0 1 1 0 0 2 1 1 0
newt 0 0 1 0 0 1 1 1 1 1 0 0 4 1 0 0
penguin 0 1 1 0 0 1 1 0 1 1 0 0 2 1 0 1
gorilla 1 0 0 1 0 0 0 1 1 1 0 0 2 0 0 1
lynx 1 0 0 1 0 0 1 1 1 1 0 0 4 1 0 1
toad 0 0 1 0 0 1 0 1 1 1 0 0 4 0 0 0
flamingo 0 1 1 0 1 0 0 0 1 1 0 0 2 1 0 1
reindeer 1 0 0 1 0 0 0 1 1 1 0 0 4 1 1 1
tuatara 0 0 1 0 0 0 1 1 1 1 0 0 4 1 0 0
crow 0 1 1 0 1 0 1 0 1 1 0 0 2 1 0 0
dogfish 0 0 1 0 0 1 1 1 1 0 0 1 0 1 0 1
